time,irvalue,redvalue
2025-03-02 00:34:56,29714,28656
2025-03-02 00:34:56,29711,28662
2025-03-02 00:34:57,29709,28668
2025-03-02 00:34:57,29729,28676
2025-03-02 00:34:57,29735,28683
2025-03-02 00:34:57,29745,28692
2025-03-02 00:34:57,29754,28698
2025-03-02 00:34:57,29758,28688
2025-03-02 00:34:57,29762,28690
2025-03-02 00:34:57,29757,28682
2025-03-02 00:34:57,29782,28701
2025-03-02 00:34:57,29773,28702
2025-03-02 00:34:57,29718,28689
2025-03-02 00:34:57,29705,28685
2025-03-02 00:34:58,29720,28684
2025-03-02 00:34:58,29732,28666
2025-03-02 00:34:58,29721,28655
2025-03-02 00:34:58,29733,28670
2025-03-02 00:34:58,29764,28686
2025-03-02 00:34:58,29762,28690
2025-03-02 00:34:58,29762,28700
2025-03-02 00:34:58,29772,28705
2025-03-02 00:34:58,29783,28691
2025-03-02 00:34:58,29773,28672
2025-03-02 00:34:58,29769,28678
2025-03-02 00:34:58,29776,28695
2025-03-02 00:34:58,29735,28676
2025-03-02 00:34:59,29709,28669
2025-03-02 00:34:59,29726,28680
2025-03-02 00:34:59,29732,28692
2025-03-02 00:34:59,29735,28665
2025-03-02 00:34:59,29733,28671
2025-03-02 00:34:59,29744,28658
2025-03-02 00:34:59,29749,28675
2025-03-02 00:34:59,29762,28677
2025-03-02 00:34:59,29765,28685
2025-03-02 00:34:59,29771,28694
2025-03-02 00:34:59,29782,28684
2025-03-02 00:34:59,29781,28659
2025-03-02 00:35:00,29727,28633
2025-03-02 00:35:00,29682,28649
2025-03-02 00:35:00,29704,28652
2025-03-02 00:35:00,29715,28661
2025-03-02 00:35:00,29709,28664
2025-03-02 00:35:00,29724,28672
2025-03-02 00:35:00,29729,28660
2025-03-02 00:35:00,29729,28656
2025-03-02 00:35:00,29746,28661
2025-03-02 00:35:00,29742,28672
2025-03-02 00:35:00,29753,28680
2025-03-02 00:35:00,29770,28696
2025-03-02 00:35:01,29772,28701
2025-03-02 00:35:01,29782,28699
2025-03-02 00:35:01,29732,28647
2025-03-02 00:35:01,29682,28633
2025-03-02 00:35:01,29694,28659
2025-03-02 00:35:01,29721,28663
2025-03-02 00:35:01,29734,28666
2025-03-02 00:35:01,29736,28675
2025-03-02 00:35:01,29746,28684
2025-03-02 00:35:01,29769,28682
2025-03-02 00:35:01,29767,28647
2025-03-02 00:35:01,29756,28651
2025-03-02 00:35:01,29760,28678
2025-03-02 00:35:02,29771,28677
2025-03-02 00:35:02,29779,28686
2025-03-02 00:35:02,29788,28693
2025-03-02 00:35:02,29734,28669
2025-03-02 00:35:02,29729,28663
2025-03-02 00:35:02,29722,28642
2025-03-02 00:35:02,29744,28648
2025-03-02 00:35:02,29729,28663
2025-03-02 00:35:02,29745,28670
2025-03-02 00:35:02,29759,28669
2025-03-02 00:35:02,29772,28678
2025-03-02 00:35:02,29781,28679
2025-03-02 00:35:02,29785,28667
2025-03-02 00:35:03,29782,28666
2025-03-02 00:35:03,29784,28656
2025-03-02 00:35:03,29782,28664
2025-03-02 00:35:03,29722,28652
2025-03-02 00:35:03,29737,28659
2025-03-02 00:35:03,29733,28660
2025-03-02 00:35:03,29752,28665
2025-03-02 00:35:03,29754,28647
2025-03-02 00:35:03,29741,28644
2025-03-02 00:35:03,29752,28647
2025-03-02 00:35:03,29759,28658
2025-03-02 00:35:03,29769,28661
2025-03-02 00:35:04,29781,28676
2025-03-02 00:35:04,29792,28675
2025-03-02 00:35:04,29791,28684
2025-03-02 00:35:04,29795,28657
2025-03-02 00:35:04,29756,28637
2025-03-02 00:35:04,29695,28652
2025-03-02 00:35:04,29729,28661
2025-03-02 00:35:04,29729,28668
2025-03-02 00:35:04,29726,28671
2025-03-02 00:35:04,29739,28675
2025-03-02 00:35:04,29760,28675
2025-03-02 00:35:04,29770,28651
2025-03-02 00:35:04,29760,28649
2025-03-02 00:35:05,29771,28668
2025-03-02 00:35:05,29787,28676
2025-03-02 00:35:05,29801,28677
2025-03-02 00:35:05,29797,28682
2025-03-02 00:35:05,29810,28691
2025-03-02 00:35:05,29768,28661
2025-03-02 00:35:05,29733,28639
2025-03-02 00:35:05,29731,28639
2025-03-02 00:35:05,29736,28658
2025-03-02 00:35:05,29754,28662
2025-03-02 00:35:05,29751,28666
2025-03-02 00:35:05,29765,28685
2025-03-02 00:35:06,29777,28675
2025-03-02 00:35:06,29778,28672
2025-03-02 00:35:06,29785,28660
2025-03-02 00:35:06,29787,28647
2025-03-02 00:35:06,29791,28673
2025-03-02 00:35:06,29814,28680
2025-03-02 00:35:06,29765,28652
2025-03-02 00:35:06,29748,28661
2025-03-02 00:35:06,29753,28666
2025-03-02 00:35:06,29765,28658
2025-03-02 00:35:06,29770,28641
2025-03-02 00:35:06,29773,28635
2025-03-02 00:35:06,29789,28660
2025-03-02 00:35:07,29783,28662
2025-03-02 00:35:07,29791,28679
2025-03-02 00:35:07,29796,28674
2025-03-02 00:35:07,29801,28674
2025-03-02 00:35:07,29808,28655
2025-03-02 00:35:07,29798,28654
2025-03-02 00:35:07,29797,28652
2025-03-02 00:35:07,29731,28647
2025-03-02 00:35:07,29748,28660
2025-03-02 00:35:07,29739,28660
2025-03-02 00:35:07,29758,28676
2025-03-02 00:35:07,29769,28673
2025-03-02 00:35:08,29763,28652
2025-03-02 00:35:08,29763,28645
2025-03-02 00:35:08,29791,28660
2025-03-02 00:35:08,29779,28669
2025-03-02 00:35:08,29788,28672
2025-03-02 00:35:08,29806,28682
2025-03-02 00:35:08,29814,28683
2025-03-02 00:35:08,29825,28671
2025-03-02 00:35:08,29793,28642
2025-03-02 00:35:08,29750,28627
2025-03-02 00:35:08,29752,28652
2025-03-02 00:35:08,29761,28651
2025-03-02 00:35:08,29768,28661
2025-03-02 00:35:09,29780,28671
2025-03-02 00:35:09,29794,28673
2025-03-02 00:35:09,29793,28652
2025-03-02 00:35:09,29783,28650
2025-03-02 00:35:09,29785,28662
2025-03-02 00:35:09,29808,28674
2025-03-02 00:35:09,29813,28673
2025-03-02 00:35:09,29821,28682
2025-03-02 00:35:09,29784,28654
2025-03-02 00:35:09,29756,28654
2025-03-02 00:35:09,29765,28629
2025-03-02 00:35:09,29757,28629
2025-03-02 00:35:10,29765,28640
2025-03-02 00:35:10,29777,28656
2025-03-02 00:35:10,29792,28654
2025-03-02 00:35:10,29805,28664
2025-03-02 00:35:10,29794,28672
2025-03-02 00:35:10,29812,28669
2025-03-02 00:35:10,29809,28635
2025-03-02 00:35:10,29803,28641
2025-03-02 00:35:10,29806,28656
2025-03-02 00:35:10,29817,28656
2025-03-02 00:35:10,29753,28627
2025-03-02 00:35:10,29751,28644
2025-03-02 00:35:10,29755,28667
2025-03-02 00:35:11,29764,28658
2025-03-02 00:35:11,29768,28639
2025-03-02 00:35:11,29778,28638
2025-03-02 00:35:11,29770,28654
2025-03-02 00:35:11,29792,28667
2025-03-02 00:35:11,29798,28674
2025-03-02 00:35:11,29803,28677
2025-03-02 00:35:11,29817,28686
2025-03-02 00:35:11,29832,28661
2025-03-02 00:35:11,29818,28665
2025-03-02 00:35:11,29808,28641
2025-03-02 00:35:11,29761,28642
2025-03-02 00:35:11,29782,28645
2025-03-02 00:35:12,29788,28659
2025-03-02 00:35:12,29795,28671
2025-03-02 00:35:12,29795,28664
2025-03-02 00:35:12,29798,28643
2025-03-02 00:35:12,29802,28639
2025-03-02 00:35:12,29800,28665
2025-03-02 00:35:12,29816,28672
2025-03-02 00:35:12,29822,28675
2025-03-02 00:35:12,29833,28684
2025-03-02 00:35:12,29831,28680
2025-03-02 00:35:12,29773,28644
2025-03-02 00:35:12,29782,28637
2025-03-02 00:35:13,29784,28632
2025-03-02 00:35:13,29792,28655
2025-03-02 00:35:13,29800,28652
2025-03-02 00:35:13,29819,28659
2025-03-02 00:35:13,29819,28674
2025-03-02 00:35:13,29829,28675
2025-03-02 00:35:13,29835,28653
2025-03-02 00:35:13,29821,28640
2025-03-02 00:35:13,29820,28656
2025-03-02 00:35:13,29835,28668
2025-03-02 00:35:13,29844,28659
2025-03-02 00:35:14,29782,28643
2025-03-02 00:35:14,29795,28663
2025-03-02 00:35:14,29785,28642
2025-03-02 00:35:14,29805,28623
2025-03-02 00:35:14,29794,28633
2025-03-02 00:35:14,29789,28657
